"Year","Ratings","Genre","Budget","Screens","Sequel","Sentiment","Views","Likes","Dislikes","Comments","Followers","Gross"
2014,6.3,8,4e+06,45,1,0,3280543,4632,425,636,1120000,9130
2014,7.1,1,5e+07,3306,2,2,583289,3465,61,186,12350000,1.92e+08
2014,6.2,1,2.8e+07,2872,1,0,304861,328,34,47,483000,30700000
2014,6.3,1,1.1e+08,3470,2,0,452917,2429,132,590,568000,1.06e+08
2014,4.7,8,3500000,2310,2,0,3145573,12163,610,1082,1923800,17300000
2014,4.6,3,5e+05,1491.36991749696,1,0,91137,112,7,1,310000,29000
2014,6.1,8,4e+07,3158,1,0,3013011,9595,419,1020,8153000,42600000
2014,7.1,1,2e+07,818,1,2,1854103,2207,197,593,130655,5750000
2014,6.5,10,2.8e+07,2714,1,3,2213659,2210,419,382,125646,2.6e+07
2014,6.1,8,12500000,2253,1,0,5218079,11709,532,770,21697300,48600000
2014,7.3,1,58800000,3555,1,4,3927600,13143,573,3134,24300,3.5e+08
2014,5.7,8,3e+07,1762,1,0,519327,963,94,70,386400,15200000
2014,5.4,15,6500000,3185,1,0,19032902,38810,4382,4392,19420105,84300000
2014,5.2,8,6.5e+07,3116,1,0,930006,5150,707,1484,5130800,85900000
2014,4.4,3,5e+06,65,3,0,595194,85,36,39,15112,830000
2014,6.6,8,6e+06,18,1,2,3915978,6983,247,460,253000,11800
2014,6.3,8,5e+06,25,1,0,1391527,2479,146,182,1658900,72300
2014,6.9,3,7e+06,31,1,0,1828235,7633,235,685,116100,14600000
2014,7.9,12,1.65e+08,3761,1,29,4700023,14163,538,1293,199800,2.22e+08
2014,6.6,3,9e+06,1823,1,-1,1348142,4404,307,1033,888000,21600000
2014,6.5,8,4e+07,3555,1,-2,7977747,18690,1940,2214,2417000,46300000
2014,8,3,4e+06,771,1,9,1671367,4572,207,741,105000,25400000
2014,5.7,1,2.8e+07,2647,1,0,2088644,6633,255,1235,3209000,20300000
2014,6.5,3,7e+06,482,1,2,4398243,9202,454,1150,4769100,1870000
2014,7,3,1e+06,1051.41160579082,1,3,7128,1,0,0,2182,9840
2014,6.7,9,3e+06,382,1,3,2902492,9522,558,2296,1052600,6370000
2014,7.8,1,1.7e+08,3938,2,5,760262,2918,66,837,8030000,2.6e+08
2014,7.7,1,1.7e+08,3967,2,-4,1735700,6772,187,889,114000,2.09e+08
2014,6.2,10,3e+07,97,1,0,465219,1348,72,162,744600,30500000
2014,4,15,7e+06,2544,1,0,1844690,3728,581,729,9536,15800000
2014,6.8,2,8.5e+07,3936,1,-4,463866,3400,152,987,1030000,1.51e+08
2014,6.4,3,3.6e+07,3376,2,-1,384448,1230,129,228,276750,4.2e+07
2014,6.3,1,7e+07,2340.08523770657,1,0,9149892,26427,1342,5278,395500,55900000
2014,6.8,3,2.7e+07,2781,1,0,522630,1248,153,227,147000,28800000
2014,5.8,8,3.5e+07,3154,3,0,3287020,7698,446,1122,17064000,86200000
2014,5.8,2,1.3e+07,3230,1,0,1488038,2571,553,643,88586,38900000
2014,7.9,1,1.78e+08,3490,1,0,15568277,29251,1730,6439,5610000,1e+08
2014,6.3,3,2e+07,2800,1,1,11850723,24226,1343,2577,21500,23400000
2014,5.7,1,4500000,1363.44618198519,1,0,735551,636,98,92,1060000,8690
2014,7.1,9,2.4e+07,66,1,6,6685088,8369,467,1580,13720000,1210000
2014,7.6,1,6.8e+07,3313,1,3,2276605,3946,331,1286,1888000,85700000
2014,6.4,3,1850000,8,1,-4,1034480,6490,181,374,66600,102000
2014,5,3,2e+06,780,1,0,456564,1706,413,890,412000,60800000
2014,6.1,10,1e+06,3,1,0,99427,47,10,12,1052600,104000
2014,6.5,1,1.6e+08,3952,1,2,1156609,2968,112,547,1870000,2.01e+08
2014,8.2,3,6.1e+07,3014,1,-11,396010,1390,58,342,20640000,1.68e+08
2014,8.1,1,1.7e+08,4080,1,0,1313548,8567,269,1285,2750000,3.33e+08
2014,5.6,8,70000,9,1,0,924347,1406,107,132,5887700,30100
2014,5.8,3,1.2e+07,2417,1,-9,175017,461,34,133,1052600,91400000
2014,6.1,1,1e+08,3595,1,-2,9324678,15479,1130,3925,9414000,72700000
2014,6.3,8,4.2e+07,93,2,-1,1292235,5284,124,362,1650000,54400000
2014,7.9,12,1.45e+08,4253,2,3,11472161,22779,862,2863,671000,1.77e+08
2014,6.8,3,1.1e+07,1272,1,14,9222933,41728,924,3609,1800000,50500000
2014,6.1,3,8932779.93,6,1,0,8210,6,0,0,58900,275000
2014,6.7,8,2e+07,645,1,1,1167941,2651,82,797,1052600,8090000
2014,8.7,2,1.65e+08,3561,1,2,5421705,16635,751,4316,1865000,1.88e+08
2014,5.8,1,5e+07,3434,1,0,4270410,8886,569,3058,301000,47600000
2014,6,2,5e+07,2440,1,-4,817242,4391,112,346,4720000,1.28e+08
2014,6.9,15,2e+06,4,1,-9,4877,6,1,1,1052600,14700000
2014,6.2,1,6e+07,3387,5,4,3320754,4322,347,1105,147000,50500000
2014,6.9,9,4e+07,2905,1,10,1438350,4028,133,543,27323,4.7e+07
2014,7.2,1,2e+07,2589,1,0,4846645,14722,405,2732,1052600,4.3e+07
2014,7,9,5e+06,374,1,0,3650720,6917,234,1119,1045200,2450000
2014,7.8,1,8.1e+07,3204,1,0,2767873,46023,944,6946,5407000,1.28e+08
2014,6.5,1,2.5e+07,28,1,-2,289922,143,17,9,1052600,129000
2014,3.1,1,1.6e+07,1825,1,0,5611593,11187,2111,7595,116800,1.4e+07
2014,6.5,8,1.7e+07,1534,1,-5,4450824,7315,546,909,2356000,82400000
2014,5.7,8,2400000,1413.52408881298,1,0,1222921,5553,193,335,1463000,8300
2014,4.8,7,3e+05,3,1,0,30529,18,4,2,18100,2470
2014,6.4,1,4e+07,3173,1,1,1142964,2346,167,311,1052600,1.27e+08
2014,7,1,1.8e+08,3948,1,0,557012,3528,135,464,5633,2.41e+08
2014,6.3,8,1.5e+07,66,1,0,177465,595,39,71,644000,348000
2014,7.1,9,2.5e+07,3019,1,27,1470438,4314,168,511,130000,36400000
2014,5.4,8,5e+06,1044,1,0,667852,469,38,44,919000,10400000
2014,6.9,12,1.45e+08,3934,1,13,277848,890,45,88,8839043,1.12e+08
2014,6.5,2,5e+07,3194,3,-1,3037329,6696,564,1061,9850000,51200000
2014,6.3,8,5e+06,255,1,0,446576,659,50,45,1052600,4010000
2014,6.6,1,6.6e+07,3115,1,5,1451649,7342,533,2305,2594000,43600000
2014,6.4,8,1.8e+07,3279,1,2,2554307,8722,298,693,14240000,1.5e+08
2014,6.3,2,1.27e+08,22,3,2,3779254,13535,362,1221,6480000,1.14e+08
2014,7.9,10,8500000,2766,1,-1,6082510,12522,543,2170,1052600,32300000
2014,5.6,10,13200000,2130,1,0,608230,895,118,387,1550500,52500000
2014,5.9,1,1.25e+08,3567,1,6,13661095,41254,3812,18077,1810000,1.01e+08
2014,7,1,5e+07,3090,1,0,367551,700,19,37,648786,91400000
2014,5.2,8,6e+05,2622.60326866283,1,0,5403836,187162,3145,24919,2720000,35700
2014,4.4,15,5e+06,2061,1,-4,11724815,30208,2150,4926,130000,50800000
2014,7.2,8,5.5e+07,3303,1,14,2028767,3829,500,665,124000,76100000
2014,5,15,5e+06,2867,1,0,105480,352,45,85,11444,32500000
2014,6.8,12,1.32e+08,32,1,8,1223790,2934,123,226,47200,83300000
2014,5.9,12,5e+07,3826,3,0,2117798,2124,485,626,3603000,59200000
2014,5.6,1,1e+08,2658,1,0,355563,1568,106,267,370000,23200000
2014,6.1,1,2.5e+07,2663,1,0,8429023,27484,977,2195,21586000,1.34e+08
2014,6.4,12,1.03e+08,3948,2,4,3849768,9783,704,1151,154400,1.32e+08
2014,6.2,1,1e+08,3372,1,7,3305047,11733,1077,4319,250000,58600000
2014,6.6,9,5e+06,371,1,1,909596,2214,186,632,1052600,3090000
2014,7.5,8,5e+06,1096.96506207985,1,0,827239,3221,89,432,217000,37400
2014,5.7,1,3.5e+07,2486,1,17,3466458,6096,411,977,3678000,10500000
2014,7.5,9,2e+07,2179,1,-5,3743181,16782,565,4973,9224,52100000
2014,5.4,3,3e+07,59,1,0,3726728,6221,405,1074,1052600,176000
2014,5.5,1,9.5e+07,2875,1,0,23360,36,5,5,804300,17200000
2014,5.1,8,4e+07,3062,1,0,2757667,3030,418,251,4521000,38500000
2014,6.6,10,6.5e+07,2894,2,0,5223362,18770,627,2796,8620000,13800000
2014,5.5,9,2.2e+07,3260,1,2,943306,3006,325,1401,3185900,59700000
2014,5.8,3,6e+06,27,1,0,2426078,9230,184,373,33500,20200
2014,7.3,8,1.3e+07,18,1,20,4176181,9463,310,885,269849,44100000
2014,6.1,1,4.8e+07,21,3,6,1544390,2975,136,380,216000,89300000
2014,4.8,8,2e+07,3465,1,0,3429055,7682,675,727,727000,84500000
2014,5.9,1,1.25e+08,3845,1,0,7908038,27312,3439,8533,1260000,1.91e+08
2014,6.1,8,8e+06,2809,1,0,6132551,14539,653,846,11783000,2.6e+07
2014,7.1,2,9500000,1586,1,3,134353,280,43,308,1052600,2590000
2014,6.8,1,2e+08,4324,2,6,386857,4996,233,864,4520000,2.03e+08
2014,6.9,3,2e+06,147,1,-3,6501107,14139,890,2928,1052600,924000
2014,6.6,3,2.6e+07,8,1,3,5546710,15351,535,1271,48231,26800000
2014,7.3,12,5e+07,12,1,9,5165441,17476,871,3229,10364000,50200000
2014,6.8,12,6e+07,3464,1,5,2545852,3964,378,554,1280000,50800000
2014,4.8,7,7e+06,1568.8193506374,1,0,330363,406,52,92,1052600,4240
2014,7.1,10,12600000,809,1,-1,2897407,5953,153,569,1052600,10700000
2014,7.2,1,5.5e+07,3236,1,0,7075635,15858,574,1966,1800000,1.02e+08
2014,6.1,1,9e+07,90,3,0,14453673,33092,1336,5005,1480000,39300000
2014,7.9,3,1.2e+07,3173,1,7,32626778,370552,4752,38363,4240000,1.25e+08
2014,7,8,10062014.2564565,432,1,0,10747,4,1,1,818000,2820000
2014,6.1,10,2.5e+07,103,1,-2,4790221,4740,454,773,2740000,33600000
2014,6.5,3,2.5e+07,702,1,6,523457,2187,149,565,184100,45100000
2014,7.4,3,2e+07,461,1,10,1303646,3306,211,564,759800,2720000
2014,7.5,2,2.5e+08,3875,6,3,3554189,14152,262,1782,2613000,2.55e+08
2014,6.6,3,1.6e+07,4,1,2,26528,58,1,8,25748,2430000
2014,7.3,8,2.2e+07,2023,1,11,24809,277,12,52,20700,54200000
2014,6.8,2,1.25e+08,4151,3,2,3305417,14684,332,1176,31030000,3.37e+08
2014,5,3,1.2e+07,1572.60716036769,1,0,309610,729,97,113,275873,2820000
2014,8.1,9,1.4e+07,747,1,9,3047849,11748,253,1237,1052600,91100000
2014,6.7,1,4.4e+07,78,1,0,6231191,13331,1265,3430,6619435,6110000
2014,7.5,10,5e+07,3003,1,2,1325872,4829,104,378,5563500,47100000
2014,4.2,1,7e+07,2104,1,0,797229,1606,630,456,1174806,18800000
2014,7.8,12,6e+07,3775,1,-2,439159,1847,105,289,4690000,2.58e+08
2014,6.3,6,1.4e+07,1841,1,2,381071,238,27,43,14586,5980000
2014,6.8,1,3.4e+07,173,1,2,3156436,18124,213,2753,4734000,1.02e+08
2014,6.1,3,7e+07,3083,1,0,10649,21,1,0,3849,7.8e+07
2014,6.3,1,1.5e+07,2776,1,0,1935432,3089,155,567,148000,2.5e+07
2014,5.8,12,4.2e+07,3427,1,0,2269032,3046,546,554,1052600,64200000
2014,7.1,8,1e+05,20,1,2,1223891,1309,148,239,226000,512000
2014,6,8,4e+07,3205,1,-1,8479994,35071,2233,3479,2731000,83900000
2014,6.5,1,9e+06,2805,2,-3,1142295,3895,193,882,49424,71500000
2014,4.7,15,6500000,685,1,0,4092871,8781,794,2046,420000,2750000
2014,6.4,10,12250000,5,1,0,702,1,0,1,9842,1110000
2014,6.8,3,11712310.56,2,1,0,253631,170,11,58,1052600,5000
2014,7.8,9,1.5e+07,15,1,8,3226251,18240,261,2104,8204,35900000
2014,7.2,3,22500000,320,1,7,3281842,4968,445,2099,1899400,4190000
2014,4.9,3,1e+06,2602,2,-6,698,16,1,9,3086,26500000
2014,5.7,8,2.4e+07,2225,2,0,2063089,5858,336,346,24388000,65200000
2014,6.3,3,1e+08,3455,1,0,14141585,36646,1459,6811,5987,2.3e+07
2014,5.8,1,2.1e+08,4233,4,0,170909,791,362,230,2814900,2.45e+08
2014,5.4,8,2800000,449,1,0,473100,670,104,380,180100,1820000
2014,7.2,9,6.5e+07,3131,1,0,6637551,19833,815,3403,269000,1.16e+08
2014,6.8,10,6e+06,291,1,10,476747,2079,166,232,2536000,3320000
2014,6.6,3,1.5e+07,794,1,0,280566,477,56,82,585000,30100000
2014,8.6,3,3300000,42,1,2,7750223,17541,631,2760,858000,13100000
2014,6.9,3,2487820.27,2,1,11,166612,571,36,70,1052600,280000
2014,7.2,2,1.5e+07,1061,1,0,5976092,9343,649,1333,781200,37900000
2014,8.2,8,3300000,4,1,7,697105,1023,39,429,1052600,3080000
2014,6.2,3,6e+07,2965,1,0,719976,1312,76,189,1810000,22500
2014,6.7,8,6e+06,68,1,0,865690,1375,79,67,1818778,3590000
2014,8.1,1,2e+08,3996,7,3,2285,9,0,1,10280000,2.34e+08
2014,6.2,9,1.2e+07,2,1,0,550734,894,44,77,168700,717000
2015,7.3,1,1.5e+08,4274,4,1,9143740,34746,1074,5107,6180000,6.43e+08
2015,7.8,1,2.5e+08,4276,2,21,10366624,31552,989,3843,10070000,4.58e+08
2015,7.4,1,1.9e+08,4004,7,-17,59056,330,8,39,11890000,3.5e+08
2015,8.6,12,1.75e+08,3946,1,2,1438926,4632,262,496,232000,3.45e+08
2015,6.6,1,7.4e+07,4301,2,-2,1341909,1607,764,48,250000,3.25e+08
2015,6.7,8,2.9e+07,3473,2,1,9214467,39824,998,1987,7336000,1.83e+08
2015,7.8,3,1.5e+08,3956,5,3,8748596,20352,649,1842,6605000,1.71e+08
2015,6.7,8,1.35e+08,3708,1,-2,10341783,24413,1675,3426,5070000,1.77e+08
2015,4.2,3,4e+07,3646,1,9,31859569,49900,13960,9119,946000,1.66e+08
2015,6.1,8,7.4e+07,3641,2,0,5536822,29411,1840,1281,184000,1.62e+08
2015,6.4,1,1.1e+08,3777,1,3,12632836,36508,2210,7559,9737600,1.54e+08
2015,8.3,1,1.5e+08,3702,4,-4,2732371,13030,497,1774,768700,1.53e+08
2015,8.3,9,2.8e+07,2757,1,5,848970,12607,237,1560,55618,1.35e+08
2015,6.4,2,1.1e+08,3875,2,-6,2834800,5664,5746,66,4240000,1.3e+08
2015,7.3,1,6.5e+07,3711,1,0,6649290,20750,750,1666,265000,1.1e+08
2015,6.7,12,3.5e+07,3158,1,1,9511288,19903,2581,2955,2014000,1.05e+08
2015,6.6,12,1.9e+08,3972,1,1,999867,4212,66,250,1198000,93200000
2015,6.1,8,4e+07,3175,1,6,10078326,26565,1418,2395,2939000,90400000
2015,6.8,1,1.55e+08,3758,5,1,84870,265,13,63,3877901,89400000
2015,6.6,8,6.8e+07,3442,2,5,6711914,29903,984,1767,10988000,81300000
2015,4.3,1,3e+07,90,2,15,2389347,8809,935,892,1618000,7.1e+07
2015,5.6,1,8.8e+07,3723,1,10,5340100,26134,2007,3717,2466000,7.1e+07
2015,6.2,8,14800000,3355,2,7,5128288,18475,858,1579,8392000,65900000
2015,6.7,8,2.3e+07,3003,1,-8,4826940,10521,478,755,2284000,64500000
2015,6.3,2,3.1e+07,3411,5,13,2554327,10062,464,871,2347000,54900000
2015,4,1,1.2e+08,3995,1,20,7560211,24168,3524,7139,881000,52700000
2015,5,15,3.5e+07,3240,1,-5,3651828,13998,969,2205,1066,47400000
2015,5.5,1,1.76e+08,3181,1,0,3920842,10535,565,1668,7460000,47400000
2015,7.3,3,2.5e+07,2991,1,11,11036701,50002,1005,3525,776000,42500000
2015,7,1,2e+07,2855,1,0,2947239,19201,625,1842,2113,41900000
2015,7.2,3,3.4e+07,3366,1,19,2393017,13291,369,584,324925,37400000
2015,7.6,1,5e+06,1648,1,11,2513544,6970,270,1105,1655987,36100000
2015,4.6,6,4e+06,2602,1,16,5588384,15144,913,1499,4599000,35400000
2015,5,1,3.5e+07,3003,1,2,6964819,26601,1111,1293,1630000,34500000
2015,6.6,8,8500000,2575,1,2,12792898,56001,2083,4102,6714000,3.4e+07
2015,7.4,10,1.1e+07,258,1,19,6495,82,3,7,675000,33300000
2015,7.1,3,3e+07,3108,1,6,1841293,5879,314,634,788000,32400000
2015,6.9,3,1.2e+07,3031,1,6,2854910,23254,459,1087,4184000,31400000
2015,5.2,8,3300000,2666,1,7,4442147,10605,691,2739,2007000,25800000
2015,5.5,1,1e+07,2766,2,-38,11037833,36874,1885,4360,5699,1.9e+07
2015,6.1,3,1.8e+07,1603,1,25,638374,4018,130,269,1887,23500000
2015,6.4,8,1.2e+07,2893,1,7,6646785,16041,955,2787,253499,22300000
2015,5.9,8,3.5e+07,3261,1,10,13154873,46684,3565,8578,209000,16100000
2015,7.5,8,7e+05,2002,1,2,50444,238,3,28,986572,16800000
2015,5.1,8,1.4e+07,2880,2,9,11496,194,9,31,1891977,12300000
2015,6.5,1,2.8e+07,2778,1,21,2996539,1874,32,189,155000,10900000
2015,5.8,8,4e+07,2816,1,3,3098749,4311,341,881,1520000,10600000
2015,5.5,8,6e+07,2648,1,-2,3850758,13363,453,1276,3045000,7610000
2015,5.4,3,7e+07,2567,1,4,2409338,6923,340,714,1334000,7100000
2015,8.2,8,8e+06,34,1,15,4032265,18398,302,1298,2208,6740000
2015,4.5,15,8495000,420,1,-2,1364537,3824,689,772,3841,1710000
2015,5.6,3,4500000,79,1,10,5085068,14359,600,2468,3744000,131000
2015,7.3,3,4e+06,14,1,0,63724,115,28,14,129000,129000
2015,6.3,3,1500000,22,1,14,44963,109,27,42,1188000,106000
2015,7.8,1,1.3e+08,3856,1,18,9597644,32558,2672,8359,1052600,1.69e+08
2015,7.7,1,3e+07,2772,1,6,11476882,40496,1383,4435,1052600,49500000
2015,7.7,3,1.5e+07,1255,1,3,419470,2218,46,239,1052600,25400000
2015,7.6,6,7.5e+07,3638,1,8,5216680,20010,500,2300,1052600,34600000
2015,7.1,8,9.5e+07,3845,1,2,10164908,22726,4245,5262,1052600,2.01e+08
2015,7,1,4.9e+07,3201,1,8,7384182,23597,786,3481,1052600,31600000
2015,6.9,8,1900000,200,1,0,890619,6352,293,700,1052600,444000
2015,6.6,8,5e+07,3171,1,3,5671767,10073,480,1712,1052600,26400000
2015,6.6,1,1e+07,1573,2,26,831044,2427,99,247,1052600,33100000
2015,6.4,4,5e+07,66,1,4,3701061,9325,641,1859,1052600,1210000
2015,5.5,15,3.7e+07,2815,1,13,7119456,18803,1128,2290,1052600,2.1e+07
2015,5.4,8,3.5e+07,2777,1,7,3450614,6823,325,409,1052600,10200000
2015,5.4,1,3e+06,1819.31203988795,1,10,66872,400,67,201,1052600,12300000
2015,4.4,15,1e+05,2720,1,-5,659772,2841,431,606,1052600,22600000
